account_id,company_name,industry,company_size,icp_fit_score,trigger_event,days_since_last_touch,existing_customer,any_converted,max_prob,account_ptb_label,gtm_fit_label
ACC-000000,Nelson Ltd,Financial Services,51-200,0.94,leadership_change,2,False,1.0,0.8805,1,1
ACC-000001,"Jackson, David and Jarvis",Retail,201-1000,0.362,none,31,False,1.0,0.5675,0,0
ACC-000002,"Carr, Kelly and Lam",Healthcare,201-1000,0.785,none,4,False,1.0,0.8426,1,1
ACC-000003,Pierce-Hamilton,Insurance,1-50,0.855,funding_round,37,False,1.0,0.901,1,1
ACC-000004,"Riley, Gonzales and Wilkinson",Financial Services,1001-5000,0.799,none,13,True,0.0,0.3216,0,1
ACC-000005,"Edwards, Garcia and Cordova",Insurance,1-50,0.802,leadership_change,37,False,1.0,0.379,1,1
ACC-000006,Garcia-Rivera,Insurance,51-200,0.885,none,9,False,1.0,0.8304,1,1
ACC-000007,"Wagner, Jones and Banks",Real Estate,201-1000,0.889,compliance_mandate,32,False,1.0,0.6368,1,1
ACC-000008,Thomas and Sons,Retail,1001-5000,0.414,none,9,True,0.0,0.2515,0,0
ACC-000009,Ramos-Holden,Government,1-50,0.608,leadership_change,39,False,1.0,0.7236,1,0
ACC-000010,"Ramos, Manning and Ford",Legal,51-200,0.823,none,3,False,1.0,0.6102,1,1
ACC-000011,Dickson Group,Government,51-200,0.398,leadership_change,63,False,0.0,0.4252,0,0
ACC-000012,"Esparza, White and Harris",Financial Services,51-200,0.808,none,18,False,1.0,0.4546,1,1
ACC-000013,"Cline, Barrett and Clayton",Manufacturing,1001-5000,0.314,none,27,False,0.0,0.4386,0,0
ACC-000014,Snow Group,Real Estate,51-200,0.819,funding_round,8,False,1.0,0.6025,1,1
ACC-000015,Curry Inc,Manufacturing,1-50,0.406,none,51,False,0.0,0.0279,0,0
ACC-000016,Page Inc,Retail,51-200,0.458,leadership_change,38,False,1.0,0.6177,0,0
ACC-000017,"Graham, Jacobson and Flores",Healthcare,51-200,0.64,none,2,True,1.0,0.6152,1,0
ACC-000018,"Johnson, Adkins and Lucero",Real Estate,1001-5000,0.691,none,33,False,0.0,0.7458,0,1
ACC-000019,"Wagner, Ramirez and Howell",Insurance,201-1000,0.638,none,6,False,1.0,0.6255,1,0
ACC-000020,Smith-Knapp,Healthcare,1-50,0.702,funding_round,12,False,1.0,0.764,1,1
ACC-000021,"Lopez, Estrada and Flowers",Technology,201-1000,0.486,none,5,False,1.0,0.4385,0,0
ACC-000022,Guerrero-Young,Financial Services,1-50,0.872,none,27,False,0.0,0.3634,0,1
ACC-000023,Matthews PLC,Manufacturing,1-50,0.626,funding_round,24,False,0.0,0.2124,0,0
ACC-000024,Robertson-Chavez,Insurance,51-200,0.826,none,162,False,1.0,0.4559,1,1
ACC-000025,Cortez-Murillo,Manufacturing,201-1000,0.551,none,8,False,0.0,0.3651,0,0
ACC-000026,Smith-Garcia,Healthcare,51-200,0.682,none,14,False,0.0,0.8128,0,1
ACC-000027,Walker-Rivas,Manufacturing,1-50,0.578,compliance_mandate,17,False,1.0,0.6233,1,0
ACC-000028,Stark-Wallace,Legal,201-1000,0.894,leadership_change,3,True,1.0,0.8813,1,1
ACC-000029,Dixon-Hernandez,Financial Services,1001-5000,0.708,none,13,False,1.0,0.655,1,1
ACC-000030,"Stanley, Howe and Lopez",Legal,1001-5000,0.792,tech_refresh,9,False,0.0,0.3759,0,1
ACC-000031,"Sanchez, Mayer and Reyes",Government,1-50,0.521,none,5,False,1.0,0.379,1,0
ACC-000032,Flores PLC,Insurance,1001-5000,0.939,compliance_mandate,35,False,0.0,,0,1
ACC-000033,"Moore, Trevino and Fernandez",Insurance,51-200,0.776,funding_round,19,True,1.0,0.8591,1,1
ACC-000034,"Nichols, Wilson and Patrick",Retail,1-50,0.253,none,4,False,1.0,0.815,0,0
ACC-000035,Curtis PLC,Retail,1-50,0.354,funding_round,104,True,0.0,0.5748,0,0
ACC-000036,"Thornton, Woodard and Harris",Legal,201-1000,0.853,none,5,True,0.0,,0,1
ACC-000037,Sanchez Inc,Legal,1-50,0.911,leadership_change,3,False,1.0,0.8035,1,1
ACC-000038,Martinez-Hart,Insurance,51-200,0.645,compliance_mandate,22,False,1.0,0.5902,1,0
ACC-000039,"Sweeney, Gomez and Ryan",Retail,1-50,0.342,none,25,False,0.0,0.658,0,0
ACC-000040,Robinson-Leach,Legal,1-50,0.816,none,45,False,1.0,0.6322,1,1
ACC-000041,Frost-Guerra,Insurance,1-50,0.761,none,60,False,1.0,0.5293,1,1
ACC-000042,Palmer and Sons,Healthcare,1001-5000,0.474,leadership_change,1,True,1.0,0.7484,0,0
ACC-000043,Houston-Alvarez,Insurance,1001-5000,0.672,none,58,False,1.0,0.34,1,1
ACC-000044,"Perez, Scott and Young",Insurance,201-1000,0.686,none,7,False,0.0,0.3701,0,1
ACC-000045,Love Group,Government,1001-5000,0.424,none,30,False,0.0,0.2719,0,0
ACC-000046,Arnold Group,Government,1-50,0.459,funding_round,2,False,1.0,0.703,0,0
ACC-000047,"Lee, Brown and Baker",Government,51-200,0.571,tech_refresh,9,False,1.0,0.7902,1,0
ACC-000048,"Silva, Vincent and Sullivan",Manufacturing,1-50,0.421,none,0,False,1.0,0.235,0,0
ACC-000049,Wilson Ltd,Healthcare,201-1000,0.669,none,5,False,1.0,0.7196,1,1
ACC-000050,"Carter, Buck and Hall",Government,1-50,0.588,none,9,False,1.0,0.7452,1,0
ACC-000051,Daniels Ltd,Government,1-50,0.467,compliance_mandate,1,False,1.0,0.7156,0,0
ACC-000052,Cox-Brown,Retail,1001-5000,0.455,tech_refresh,95,False,0.0,,0,0
ACC-000053,Hernandez Inc,Financial Services,201-1000,0.815,none,34,False,0.0,0.6606,0,1
ACC-000054,"Wolfe, West and Miller",Insurance,51-200,0.722,funding_round,27,True,1.0,0.8209,1,1
ACC-000055,Dean Ltd,Government,51-200,0.639,none,8,False,0.0,,0,0
ACC-000056,Johnson-Thomas,Retail,51-200,0.274,none,34,False,0.0,,0,0
ACC-000057,Pugh-Burke,Legal,51-200,1.0,none,86,False,0.0,,0,1
ACC-000058,"Riggs, Sexton and Nelson",Healthcare,51-200,0.658,none,39,False,1.0,0.3448,1,1
ACC-000059,"Rodriguez, Klein and Crane",Government,201-1000,0.577,funding_round,2,False,1.0,0.6038,1,0
ACC-000060,Hernandez-Hebert,Manufacturing,5000+,0.442,tech_refresh,17,False,1.0,0.5663,0,0
ACC-000061,"Morris, Pollard and Lowe",Financial Services,201-1000,0.766,tech_refresh,22,False,0.0,0.4664,0,1
ACC-000062,Mason-Andrews,Financial Services,201-1000,0.772,funding_round,17,False,1.0,0.7145,1,1
ACC-000063,Andrews and Sons,Financial Services,51-200,0.859,leadership_change,28,False,0.0,0.3676,0,1
ACC-000064,"Warren, Garcia and Lowe",Healthcare,1-50,0.46,none,59,False,1.0,0.5556,0,0
ACC-000065,Johnson Group,Insurance,201-1000,0.848,none,28,False,1.0,0.6996,1,1
ACC-000066,Nelson-Shepard,Manufacturing,51-200,0.432,none,5,False,1.0,0.7177,0,0
ACC-000067,Lopez Ltd,Legal,51-200,0.885,leadership_change,40,False,1.0,0.421,1,1
ACC-000068,Ramos Ltd,Real Estate,51-200,0.801,tech_refresh,22,False,0.0,0.4205,0,1
ACC-000069,"Rush, Oliver and Smith",Government,1-50,0.879,funding_round,5,False,0.0,0.7655,0,1
ACC-000070,Hayes-Abbott,Financial Services,1-50,1.0,compliance_mandate,68,False,0.0,0.2994,0,1
ACC-000071,Wilkinson Group,Retail,51-200,0.453,tech_refresh,24,True,0.0,,0,0
ACC-000072,Nelson-Wilson,Real Estate,1001-5000,0.743,compliance_mandate,0,False,0.0,0.3171,0,1
ACC-000073,Holmes-Krause,Insurance,201-1000,0.767,none,28,True,1.0,0.8366,1,1
ACC-000074,"Jackson, Young and Grant",Legal,1-50,0.924,none,116,False,1.0,0.9256,1,1
ACC-000075,"Gomez, Sheppard and Smith",Legal,1-50,0.886,none,29,False,0.0,0.2026,0,1
ACC-000076,Adams Ltd,Insurance,1001-5000,0.669,compliance_mandate,59,False,1.0,0.86,1,1
ACC-000077,"Young, Morris and Soto",Legal,201-1000,1.0,none,24,True,1.0,0.9539,1,1
ACC-000078,Marquez-Steele,Retail,201-1000,0.411,compliance_mandate,7,False,1.0,0.6748,0,0
ACC-000079,Hampton PLC,Technology,1-50,0.507,leadership_change,35,False,1.0,0.8038,1,0
ACC-000080,Garcia LLC,Technology,201-1000,0.607,compliance_mandate,19,True,1.0,0.8492,1,0
ACC-000081,Stephens and Sons,Financial Services,1-50,0.786,tech_refresh,53,False,0.0,0.2703,0,1
ACC-000082,"Wiley, Higgins and Banks",Legal,51-200,0.943,tech_refresh,12,False,1.0,0.6508,1,1
ACC-000083,"Christensen, Smith and Mckenzie",Manufacturing,201-1000,0.41,tech_refresh,2,False,1.0,0.5901,0,0
ACC-000084,"Steele, Cox and Newton",Retail,51-200,0.649,none,0,False,0.0,0.1036,0,0
ACC-000085,Mills-Mcbride,Real Estate,51-200,0.84,funding_round,35,False,1.0,0.7577,1,1
ACC-000086,Carlson-Smith,Government,51-200,0.466,none,8,False,1.0,0.4238,0,0
ACC-000087,Welch-Tran,Healthcare,1-50,0.535,funding_round,45,False,1.0,0.4229,1,0
ACC-000088,Crosby-Miller,Manufacturing,51-200,0.409,none,21,False,0.0,0.692,0,0
ACC-000089,"Dennis, Wiley and Williams",Manufacturing,51-200,0.477,leadership_change,5,False,0.0,0.3008,0,0
ACC-000090,"Mcdonald, Thompson and Aguilar",Government,51-200,0.506,none,35,False,1.0,0.5836,1,0
ACC-000091,Thompson Group,Technology,1-50,0.63,compliance_mandate,2,False,1.0,0.6159,1,0
ACC-000092,Jefferson PLC,Manufacturing,1-50,0.562,leadership_change,0,False,1.0,0.788,1,0
ACC-000093,"Lopez, Diaz and Ewing",Real Estate,1001-5000,0.964,none,68,True,0.0,0.5957,0,1
ACC-000094,Rogers Ltd,Technology,5000+,0.84,leadership_change,12,False,1.0,0.7793,1,1
ACC-000095,"Miller, Gardner and Palmer",Real Estate,201-1000,0.764,funding_round,0,False,1.0,0.8828,1,1
ACC-000096,Wells-Gordon,Retail,1-50,0.317,compliance_mandate,17,False,0.0,0.2017,0,0
ACC-000097,Cooper LLC,Technology,1-50,0.718,none,8,False,1.0,0.678,1,1
