account_id,company_name,industry,company_size,icp_fit_score,trigger_event,days_since_last_touch,existing_customer,any_converted,max_prob,account_ptb_label
ACC-000000,"Williams, Myers and Lucas",Financial Services,51-200,0.94,leadership_change,2,False,1.0,0.8805,1
ACC-000001,Schneider Ltd,Retail,201-1000,0.362,none,31,False,1.0,0.5675,0
ACC-000002,King-Steele,Healthcare,201-1000,0.785,none,4,False,1.0,0.8426,1
ACC-000003,Horton and Sons,Insurance,1-50,0.855,funding_round,37,False,1.0,0.901,1
ACC-000004,Larsen-Castro,Financial Services,1001-5000,0.799,none,13,True,0.0,0.3216,0
ACC-000005,"Silva, Kennedy and Williams",Insurance,1-50,0.802,leadership_change,37,False,1.0,0.379,1
ACC-000006,Phillips Inc,Insurance,51-200,0.885,none,9,False,1.0,0.8304,1
ACC-000007,"Johnson, Meyer and Jenkins",Real Estate,201-1000,0.889,compliance_mandate,32,False,1.0,0.6368,1
ACC-000008,"Pennington, Nguyen and Thompson",Retail,1001-5000,0.414,none,9,True,0.0,0.2515,0
ACC-000009,"Perez, Acevedo and Martinez",Government,1-50,0.608,leadership_change,39,False,1.0,0.7236,1
ACC-000010,Casey Ltd,Legal,51-200,0.823,none,3,False,1.0,0.6102,1
ACC-000011,Johnson-Smith,Government,51-200,0.398,leadership_change,63,False,0.0,0.4252,0
ACC-000012,"Cox, Marshall and Wilson",Financial Services,51-200,0.808,none,18,False,1.0,0.4546,1
ACC-000013,"Howe, Cruz and Lewis",Manufacturing,1001-5000,0.314,none,27,False,0.0,0.4386,0
ACC-000014,Hoover-Francis,Real Estate,51-200,0.819,funding_round,8,False,1.0,0.6025,1
ACC-000015,"Booth, Rogers and Guzman",Manufacturing,1-50,0.406,none,51,False,0.0,0.0279,0
ACC-000016,"Williamson, Nelson and Martin",Retail,51-200,0.458,leadership_change,38,False,1.0,0.6177,0
ACC-000017,Ortiz-Stevens,Healthcare,51-200,0.64,none,2,True,1.0,0.6152,1
ACC-000018,Foster-Parks,Real Estate,1001-5000,0.691,none,33,False,0.0,0.7458,0
ACC-000019,Baker-Smith,Insurance,201-1000,0.638,none,6,False,1.0,0.6255,1
ACC-000020,"Hall, Jones and Willis",Healthcare,1-50,0.702,funding_round,12,False,1.0,0.764,1
ACC-000021,Roberts Group,Technology,201-1000,0.486,none,5,False,1.0,0.4385,0
ACC-000022,Hudson Ltd,Financial Services,1-50,0.872,none,27,False,0.0,0.3634,0
ACC-000023,"Murphy, Tapia and Perkins",Manufacturing,1-50,0.626,funding_round,24,False,0.0,0.2124,0
ACC-000024,Chung-Hall,Insurance,51-200,0.826,none,162,False,1.0,0.4559,1
ACC-000025,Cunningham-Nichols,Manufacturing,201-1000,0.551,none,8,False,0.0,0.3651,0
ACC-000026,Knight Group,Healthcare,51-200,0.682,none,14,False,0.0,0.8128,0
ACC-000027,"Smith, Nelson and Espinoza",Manufacturing,1-50,0.578,compliance_mandate,17,False,1.0,0.6233,1
ACC-000028,Wong PLC,Legal,201-1000,0.894,leadership_change,3,True,1.0,0.8813,1
ACC-000029,Morgan-Quinn,Financial Services,1001-5000,0.708,none,13,False,1.0,0.655,1
ACC-000030,Bullock-Turner,Legal,1001-5000,0.792,tech_refresh,9,False,0.0,0.3759,0
ACC-000031,Curry Group,Government,1-50,0.521,none,5,False,1.0,0.379,1
ACC-000032,"Nguyen, Haas and Benson",Insurance,1001-5000,0.939,compliance_mandate,35,False,0.0,,0
ACC-000033,Hughes-Moore,Insurance,51-200,0.776,funding_round,19,True,1.0,0.8591,1
ACC-000034,Sanchez-Schneider,Retail,1-50,0.253,none,4,False,1.0,0.815,0
ACC-000035,Wolf and Sons,Retail,1-50,0.354,funding_round,104,True,0.0,0.5748,0
ACC-000036,Gill-Chambers,Legal,201-1000,0.853,none,5,True,0.0,,0
ACC-000037,Smith LLC,Legal,1-50,0.911,leadership_change,3,False,1.0,0.8035,1
ACC-000038,Acevedo Group,Insurance,51-200,0.645,compliance_mandate,22,False,1.0,0.5902,1
ACC-000039,Nunez LLC,Retail,1-50,0.342,none,25,False,0.0,0.658,0
ACC-000040,Shields-Beard,Legal,1-50,0.816,none,45,False,1.0,0.6322,1
ACC-000041,"Figueroa, Davis and Macias",Insurance,1-50,0.761,none,60,False,1.0,0.5293,1
ACC-000042,Price PLC,Healthcare,1001-5000,0.474,leadership_change,1,True,1.0,0.7484,0
ACC-000043,"Fleming, Goodwin and King",Insurance,1001-5000,0.672,none,58,False,1.0,0.34,1
