event_id,contact_id,event_type,intent_label,days_ago
EVT-00000000,CON-0000000,meeting,neutral,7
EVT-00000001,CON-0000000,content_download,neutral,19
EVT-00000002,CON-0000001,content_download,cold,13
EVT-00000003,CON-0000001,meeting,neutral,15
EVT-00000004,CON-0000001,email_open,hot,0
EVT-00000005,CON-0000001,email_open,neutral,11
EVT-00000006,CON-0000002,meeting,warm,13
EVT-00000007,CON-0000002,email_open,neutral,19
EVT-00000008,CON-0000002,email_open,hot,35
EVT-00000009,CON-0000002,content_download,hot,10
EVT-00000010,CON-0000002,meeting,hot,11
EVT-00000011,CON-0000002,content_download,hot,39
EVT-00000012,CON-0000003,content_download,hot,10
EVT-00000013,CON-0000003,email_reply,neutral,26
EVT-00000014,CON-0000003,meeting,hot,7
EVT-00000015,CON-0000003,email_open,neutral,9
EVT-00000016,CON-0000004,meeting,hot,0
EVT-00000017,CON-0000004,email_open,cold,12
EVT-00000018,CON-0000004,meeting,warm,23
EVT-00000019,CON-0000005,email_open,neutral,10
EVT-00000020,CON-0000005,meeting,warm,117
EVT-00000021,CON-0000005,meeting,warm,4
EVT-00000022,CON-0000005,email_open,warm,14
EVT-00000023,CON-0000005,content_download,hot,14
EVT-00000024,CON-0000005,email_reply,cold,13
EVT-00000025,CON-0000007,meeting,cold,43
EVT-00000026,CON-0000007,email_open,warm,27
EVT-00000027,CON-0000007,meeting,neutral,20
EVT-00000028,CON-0000008,email_reply,neutral,6
EVT-00000029,CON-0000008,meeting,hot,4
EVT-00000030,CON-0000009,email_open,warm,16
EVT-00000031,CON-0000009,meeting,hot,2
EVT-00000032,CON-0000009,content_download,warm,17
EVT-00000033,CON-0000009,meeting,warm,23
EVT-00000034,CON-0000010,content_download,warm,38
EVT-00000035,CON-0000010,email_reply,warm,38
EVT-00000036,CON-0000010,email_open,hot,12
EVT-00000037,CON-0000010,content_download,neutral,7
EVT-00000038,CON-0000011,content_download,warm,74
EVT-00000039,CON-0000011,email_reply,hot,31
EVT-00000040,CON-0000011,email_reply,cold,21
EVT-00000041,CON-0000012,email_reply,hot,25
EVT-00000042,CON-0000012,content_download,hot,48
EVT-00000043,CON-0000012,meeting,hot,10
EVT-00000044,CON-0000012,meeting,warm,8
EVT-00000045,CON-0000012,meeting,neutral,1
EVT-00000046,CON-0000013,content_download,cold,5
EVT-00000047,CON-0000013,email_open,hot,10
EVT-00000048,CON-0000013,email_open,hot,2
EVT-00000049,CON-0000014,email_open,hot,2
EVT-00000050,CON-0000014,content_download,warm,56
EVT-00000051,CON-0000014,email_open,hot,65
EVT-00000052,CON-0000014,email_open,hot,2
EVT-00000053,CON-0000014,meeting,hot,32
EVT-00000054,CON-0000014,content_download,neutral,41
EVT-00000055,CON-0000014,email_open,neutral,31
EVT-00000056,CON-0000015,content_download,neutral,5
EVT-00000057,CON-0000015,content_download,neutral,16
EVT-00000058,CON-0000015,email_reply,hot,12
EVT-00000059,CON-0000015,meeting,hot,10
EVT-00000060,CON-0000015,email_reply,warm,2
EVT-00000061,CON-0000015,content_download,warm,18
EVT-00000062,CON-0000016,meeting,hot,2
EVT-00000063,CON-0000016,content_download,hot,19
EVT-00000064,CON-0000016,email_reply,cold,9
EVT-00000065,CON-0000016,email_open,neutral,11
EVT-00000066,CON-0000016,content_download,warm,2
EVT-00000067,CON-0000016,email_open,hot,0
EVT-00000068,CON-0000016,meeting,warm,11
EVT-00000069,CON-0000017,email_open,neutral,55
EVT-00000070,CON-0000017,email_reply,hot,14
EVT-00000071,CON-0000018,content_download,neutral,1
EVT-00000072,CON-0000018,content_download,hot,9
EVT-00000073,CON-0000018,meeting,hot,21
EVT-00000074,CON-0000018,content_download,hot,15
EVT-00000075,CON-0000019,email_open,hot,85
EVT-00000076,CON-0000019,meeting,cold,24
EVT-00000077,CON-0000019,email_reply,cold,38
EVT-00000078,CON-0000019,meeting,neutral,0
EVT-00000079,CON-0000019,meeting,hot,25
EVT-00000080,CON-0000019,email_open,hot,30
EVT-00000081,CON-0000020,meeting,hot,43
EVT-00000082,CON-0000020,email_reply,hot,12
EVT-00000083,CON-0000021,content_download,warm,37
EVT-00000084,CON-0000022,email_reply,hot,15
EVT-00000085,CON-0000022,content_download,warm,3
EVT-00000086,CON-0000022,meeting,hot,4
EVT-00000087,CON-0000022,email_reply,warm,47
EVT-00000088,CON-0000023,email_open,hot,7
EVT-00000089,CON-0000024,email_reply,neutral,22
EVT-00000090,CON-0000024,email_reply,cold,3
EVT-00000091,CON-0000024,email_open,cold,4
EVT-00000092,CON-0000025,email_open,warm,8
EVT-00000093,CON-0000025,meeting,cold,15
EVT-00000094,CON-0000025,content_download,cold,9
EVT-00000095,CON-0000025,meeting,hot,2
EVT-00000096,CON-0000026,content_download,warm,38
EVT-00000097,CON-0000026,email_reply,neutral,28
EVT-00000098,CON-0000027,email_open,hot,14
EVT-00000099,CON-0000027,content_download,warm,30
EVT-00000100,CON-0000027,meeting,hot,10
EVT-00000101,CON-0000027,meeting,warm,6
EVT-00000102,CON-0000027,content_download,hot,15
EVT-00000103,CON-0000028,content_download,cold,7
EVT-00000104,CON-0000029,email_open,neutral,26
EVT-00000105,CON-0000029,email_open,warm,0
EVT-00000106,CON-0000029,meeting,warm,34
EVT-00000107,CON-0000030,email_open,neutral,24
EVT-00000108,CON-0000030,content_download,warm,4
EVT-00000109,CON-0000030,content_download,hot,7
EVT-00000110,CON-0000030,content_download,hot,52
EVT-00000111,CON-0000030,email_reply,neutral,5
EVT-00000112,CON-0000030,email_open,warm,0
EVT-00000113,CON-0000031,email_reply,hot,2
EVT-00000114,CON-0000032,content_download,warm,10
EVT-00000115,CON-0000032,email_reply,warm,0
EVT-00000116,CON-0000032,email_open,hot,23
EVT-00000117,CON-0000033,email_open,warm,16
EVT-00000118,CON-0000033,email_open,hot,9
EVT-00000119,CON-0000034,email_open,cold,11
EVT-00000120,CON-0000034,email_reply,cold,55
EVT-00000121,CON-0000034,content_download,warm,40
EVT-00000122,CON-0000035,content_download,warm,26
EVT-00000123,CON-0000035,email_reply,warm,18
EVT-00000124,CON-0000035,email_open,neutral,36
EVT-00000125,CON-0000035,content_download,warm,41
EVT-00000126,CON-0000036,email_open,cold,26
